 1 ,        1 , 100.00 ,   3.95
 1 ,       10 ,  40.00 ,  27.18
 1 ,      100 ,  60.00 ,  50.40
 1 ,     1000 ,  58.30 ,  47.14
 1 ,    10000 ,  58.10 ,  46.30
 1 ,   100000 ,  57.12 ,  45.66
 1 ,   500000 ,  56.98 ,  45.27
 1 ,  1000000 ,  56.99 ,  44.89
 2 ,        1 , 100.00 ,   1.35
 2 ,       10 ,  60.00 ,  14.33
 2 ,      100 ,  60.00 ,  70.68
 2 ,     1000 ,  57.50 ,  90.37
 2 ,    10000 ,  57.26 ,  91.66
 2 ,   100000 ,  57.13 ,  91.44
 2 ,   500000 ,  57.09 ,  91.02
 2 ,  1000000 ,  57.06 ,  90.84
 4 ,        1 , 100.00 ,   0.79
 4 ,       10 ,  80.00 ,   8.89
 4 ,      100 ,  60.00 ,  72.35
 4 ,     1000 ,  56.80 , 172.36
 4 ,    10000 ,  57.29 , 180.75
 4 ,   100000 ,  56.99 , 182.66
 4 ,   500000 ,  57.05 , 181.12
 4 ,  1000000 ,  56.98 , 180.75
 6 ,        1 ,   0.00 ,   0.65
 6 ,       10 ,  50.00 ,   0.01
 6 ,      100 ,  59.00 ,   0.07
 6 ,     1000 ,  55.70 ,   0.75
 6 ,    10000 ,  57.31 ,   6.91
 6 ,   100000 ,  57.26 ,  29.24
 6 ,   500000 ,  57.07 ,  78.47
 6 ,  1000000 ,  56.98 , 113.94
 8 ,        1 , 100.00 ,   0.00
 8 ,       10 ,  70.00 ,   0.01
 8 ,      100 ,  54.00 ,   0.05
 8 ,     1000 ,  56.40 ,   0.69
 8 ,    10000 ,  57.54 ,   3.86
 8 ,   100000 ,  56.94 ,  20.49
 8 ,   500000 ,  56.85 ,  60.20
 8 ,  1000000 ,  56.93 , 120.31
